player_id,family_name,given_name,wikipedia_title,reason
P-86509,Sérgio,Paulo,"Paulo_Sérgio_(footballer,_born_1969)",no_image_on_page
P-86511,Martínez,Rony,Rony_Martínez,no_image_on_page
P-86518,Szepan,Fritz,Fritz_Szepan,no_image_on_page
P-86534,Quim,not applicable,"Quim_(footballer,_born_1975)",no_image_on_page
P-86608,Arabov,Nikolay,Nikolay_Arabov,no_image_on_page
P-86677,Aleinikov,Sergei,Sergei_Aleinikov,no_image_on_page
P-86679,Osorto,Francisco,Francisco_Osorto,no_image_on_page
P-86728,John,Avery,Avery_John,no_image_on_page
P-86766,Krumpe,Paul,Paul_Krumpe,no_image_on_page
P-86777,Törőcsik,András,András_Törőcsik,no_image_on_page
P-86801,Kolitsidakis,Thanasis,Thanasis_Kolitsidakis,no_image_on_page
P-86843,Aveiro,José Raúl,José_Raúl_Aveiro,no_image_on_page
P-86884,Vidović,Gordan,Gordan_Vidović,no_image_on_page
P-86899,Zgutczyński,Andrzej,Andrzej_Zgutczyński,no_image_on_page
P-86932,Tejera,Domingo,Domingo_Tejera,no_image_on_page
P-86965,Haz,Melanie,Melanie_Haz,no_image_on_page
P-86989,Tucceri Cimini,Linda,Linda_Tucceri_Cimini,no_image_on_page
P-87015,Honda,Midori,Midori_Honda,no_image_on_page
P-87023,Markarov,Eduard,Eduard_Markarov,no_image_on_page
P-87029,Caron,Annie,Annie_Caron,no_image_on_page
P-87036,McLoughlin,Alan,Alan_McLoughlin,no_image_on_page
P-87112,Salvador,Luis Miguel,Luis_Miguel_Salvador,no_image_on_page
P-87139,Turnbull,Eddie,Eddie_Turnbull,no_image_on_page
P-87143,Peacock,Alan,Alan_Peacock,no_image_on_page
P-87187,Tomas,Stjepan,Stjepan_Tomas,no_image_on_page
P-87197,Yoo,Byung-ok,Yoo_Byung-ok,no_image_on_page
P-87203,Pak,Seung-zin,Pak_Seung-zin,no_image_on_page
P-87205,Bizera,Joe,Joe_Bizera,no_image_on_page
P-87217,Lembryk,Kim,Kim_Lembryk,no_image_on_page
P-87223,Mineiro,not applicable,Mineiro_(footballer),no_image_on_page
P-87229,Mercado,Sigifredo,Sigifredo_Mercado,no_image_on_page
P-87249,Calle,Ignacio,Ignacio_Calle,no_image_on_page
P-87255,Neil,Andrea,Andrea_Neil,no_image_on_page
P-87263,Kalte,Ulrika,Ulrika_Kalte,no_image_on_page
P-87288,Gusarov,Gennadi,Gennadi_Gusarov,no_image_on_page
P-87303,Coulibaly,Djelika,Djelika_Coulibaly,no_image_on_page
P-87338,Pelézinha,not applicable,Pelézinha,no_image_on_page
P-87406,Mota,Salvador,Salvador_Mota,no_image_on_page
P-87412,Wieghorst,Morten,Morten_Wieghorst,no_image_on_page
P-87413,Kalu,Rebecca,Rebecca_Kalu,no_image_on_page
P-87420,Graham,Len,Len_Graham_(footballer),no_image_on_page
P-87458,Scoponi,Norberto,Norberto_Scoponi,no_image_on_page
P-87474,Schall,Anton,Anton_Schall,no_image_on_page
P-87506,Kembo Uba-Kembo,Jean,Kembo_Uba_Kembo,no_image_on_page
P-87563,Kofidis,Savvas,Savvas_Kofidis,no_image_on_page
P-87569,Al-Najei,Sami,Sami_Al-Najei,no_image_on_page
P-87575,Merry,Mustafa,Mustafa_Merry,no_image_on_page
P-87592,García,Rafael,Rafael_García_Torres,no_image_on_page
P-87641,Sobrinho,Luís,Luís_Sobrinho,no_image_on_page
P-87653,Myers,Roy,Roy_Myers,no_image_on_page
P-87702,Bouzaiene,Raouf,Raouf_Bouzaiene,no_image_on_page
P-87723,Morgan,Willie,Willie_Morgan,no_image_on_page
P-87730,Ognjanov,Tihomir,Tihomir_Ognjanov,no_image_on_page
P-87740,Bakhati,Mohammed,Mohammed_Bakhati,no_image_on_page
P-87749,Pallotti,Alessandra,Alessandra_Pallotti,no_image_on_page
P-87777,Choi,Yung-keun,Choi_Yung-keun,no_image_on_page
P-87796,Alvarenga,Guido,Guido_Alvarenga,no_image_on_page
P-87803,Hamill,Tommy,Tommy_Hamill_(Northern_Irish_footballer),no_image_on_page
P-87807,Romero,Pedro,Pedro_Romero_(footballer),no_image_on_page
P-87822,Piquant,Wilner,Wilner_Piquant,no_image_on_page
P-87829,Wolanin,Adam,Adam_Wolanin,no_image_on_page
P-87968,Mahouvé,Marcel,Marcel_Mahouvé,no_image_on_page
P-87975,Mommens,Raymond,Raymond_Mommens,no_image_on_page
