player_id,family_name,given_name,wikipedia_title,image_url
P-40789,Rami,Adil,Adil_Rami,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Adil_Rami_in_2017.jpg/500px-Adil_Rami_in_2017.jpg
P-86499,Ramires,not applicable,Ramires,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Chelsea_1_Man_City_1_%2816413207122%29.jpg/500px-Chelsea_1_Man_City_1_%2816413207122%29.jpg
P-79723,Ramírez,Gastón,Gastón_Ramírez,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/U18_Gast%C3%B3n_Ram%C3%ADrez_7509.jpg/500px-U18_Gast%C3%B3n_Ram%C3%ADrez_7509.jpg
P-98252,Ramírez,Jaime,"Jaime_Ramírez_(footballer,_born_1931)",https://upload.wikimedia.org/wikipedia/commons/6/6b/Jramirez1962.jpg
P-39347,Ramírez,Moisés,Moisés_Ramírez,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Moises_Ramirez_Cote_D%27Ivoire_v_Ecuador_14_June_2026-3.jpg/500px-Moises_Ramirez_Cote_D%27Ivoire_v_Ecuador_14_June_2026-3.jpg
P-27437,Ramírez,Oscar,"Óscar_Ramírez_(footballer,_born_1964)",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/%C3%93scar_Ram%C3%ADrez.jpg/500px-%C3%93scar_Ram%C3%ADrez.jpg
P-51451,Ramírez,Oswaldo,Oswaldo_Ramírez,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Oswaldo_Ram%C3%ADrez_%28cropped%29.png/500px-Oswaldo_Ram%C3%ADrez_%28cropped%29.png
P-73564,Ramos,Adrián,Adrián_Ramos,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Adri%C3%A1n_Ramos%2714.JPG/500px-Adri%C3%A1n_Ramos%2714.JPG
P-70241,Ramos,Christian,Christian_Ramos,https://upload.wikimedia.org/wikipedia/commons/3/3c/Christian_Ramos_Russia_2018.jpg
P-41647,Ramos,Gonçalo,Gonçalo_Ramos,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Gon%C3%A7alo_Ramos_USMNT_v_Portugal_Mar_31_2026-32_%28cropped%29.jpg/500px-Gon%C3%A7alo_Ramos_USMNT_v_Portugal_Mar_31_2026-32_%28cropped%29.jpg
P-34782,Ramos,Mauro,Mauro_Ramos,https://upload.wikimedia.org/wikipedia/commons/a/a8/Mauro_Ramos_en_1962.jpg
P-89177,Ramos,Sergio,Sergio_Ramos,https://upload.wikimedia.org/wikipedia/commons/4/4b/Sergio_Ramos_Interview_2021_%28cropped%29.jpg
P-07720,Ramos,Tab,Tab_Ramos,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Tab_Ramos_USA-Columbia%2C_FIFA_U20_World_Cup_%2818657899156%29_%28cropped%29.jpg/500px-Tab_Ramos_USA-Columbia%2C_FIFA_U20_World_Cup_%2818657899156%29_%28cropped%29.jpg
P-00471,Rampone,Christie,Christie_Pearce,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Christie_Rampone_2016_01.png/500px-Christie_Rampone_2016_01.png
P-62368,Ramsdale,Aaron,Aaron_Ramsdale,https://upload.wikimedia.org/wikipedia/commons/7/74/Aaron_Ramsdale_2026.png
P-86951,Ramsey,Aaron,Aaron_Ramsey,https://upload.wikimedia.org/wikipedia/commons/2/2e/2022_FIFA_World_Cup_United_States_1%E2%80%931_Wales_-_%2836%29_%28cropped%29.jpg
P-02061,Ramsey,Alf,Alf_Ramsey,https://upload.wikimedia.org/wikipedia/commons/2/20/Alf_Ramsey_%281969%29.jpg
P-11562,Ramzy,Hany,Hany_Ramzy,https://upload.wikimedia.org/wikipedia/commons/2/26/%D9%87%D8%A7%D9%86%D9%8A_%D8%B1%D9%85%D8%B2%D9%8A.png
P-99179,Rangel,Nayeli,Nayeli_Rangel,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/NayeliRangel-1_%2840633874522%29_%28cropped%29.jpg/500px-NayeliRangel-1_%2840633874522%29_%28cropped%29.jpg
P-64532,Rangel,Víctor,Víctor_Rangel_(Mexican_footballer),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/VictorRangel1978.jpg/500px-VictorRangel1978.jpg
P-83169,Raphinha,not applicable,Raphinha,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Raphinha_Brazil_V_Morocco_13_June_2026-133_%28cropped%29.jpg/500px-Raphinha_Brazil_V_Morocco_13_June_2026-133_%28cropped%29.jpg
P-09273,Rapinoe,Megan,Megan_Rapinoe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Megan_Rapinoe_%2848675274817%29_%28cropped%29.jpg/500px-Megan_Rapinoe_%2848675274817%29_%28cropped%29.jpg
P-89908,Raquel,not applicable,Raquel_de_Souza_Noronha,https://upload.wikimedia.org/wikipedia/commons/6/61/Raquel_%28cropped%29.jpg
P-11773,Raquel,not applicable,Raquel_Fernandes,https://upload.wikimedia.org/wikipedia/commons/7/79/Raquel_Fernandes_dos_Santos_%28cropped%29.jpg
P-59837,Rashford,Marcus,Marcus_Rashford,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Marcus_Rashford_in_2023.jpg/500px-Marcus_Rashford_in_2023.jpg
P-21451,Rasiak,Grzegorz,Grzegorz_Rasiak,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Grzegorz_Rasiak_2013.JPG/500px-Grzegorz_Rasiak_2013.JPG
P-20868,Rasmussen,Johanna,Johanna_Rasmussen,https://upload.wikimedia.org/wikipedia/commons/8/85/Johanna_rasmussen.jpg
P-39150,Raso,Hayley,Hayley_Raso,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/20241006-Hayley_Raso_%28cropped%29.jpg/500px-20241006-Hayley_Raso_%28cropped%29.jpg
P-16126,Rats,Vasyl,Vasyl_Rats,https://upload.wikimedia.org/wikipedia/commons/e/e6/Vasyl_Rats.jpeg
P-92300,Rattín,Antonio,Antonio_Rattín,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Rattin_waving_crowd.jpg/500px-Rattin_waving_crowd.jpg
P-24556,Raúl,not applicable,Raúl_(footballer),https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/25th_Laureus_World_Sports_Awards_-_Ra%C3%BAl_-_240422_132916-2_%28cropped%29.jpg/500px-25th_Laureus_World_Sports_Awards_-_Ra%C3%BAl_-_240422_132916-2_%28cropped%29.jpg
P-20804,Raum,David,David_Raum,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/2023-10-04_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League%2C_RB_Leipzig_-_Manchester_City_FC_1DX_2658_%28cropped%29.jpg/500px-2023-10-04_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League%2C_RB_Leipzig_-_Manchester_City_FC_1DX_2658_%28cropped%29.jpg
P-94051,Ravelli,Thomas,Thomas_Ravelli,https://upload.wikimedia.org/wikipedia/commons/4/41/Thomas_Ravelli_in_January_2014.jpg
P-33433,Raya,David,David_Raya,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/David_Raya_in_2025_%28cropped%29.jpg/500px-David_Raya_in_2025_%28cropped%29.jpg
P-65484,Ré,Cayetano,Cayetano_Ré,https://upload.wikimedia.org/wikipedia/commons/9/96/Cayetano_R%C3%A9_Barcelona.png
P-58264,Re Cecconi,Luciano,Luciano_Re_Cecconi,https://upload.wikimedia.org/wikipedia/commons/9/95/Luciano_Re_Cecconi_1974.jpg
P-62444,Real,Kerlly,Kerlly_Real,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/KERLY_REAL_%2819924572941%29.jpg/500px-KERLY_REAL_%2819924572941%29.jpg
P-26367,Ream,Tim,Tim_Ream,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Tim_Ream_NYCFC_v_Charlotte_20_Sep_2025-021_%28cropped%29.jpg/500px-Tim_Ream_NYCFC_v_Charlotte_20_Sep_2025-021_%28cropped%29.jpg
P-61229,Reasco,Néicer,Néicer_Reasco,https://upload.wikimedia.org/wikipedia/commons/d/d4/LDU_Quito-2015_%2812%29.jpg
P-44463,Rebić,Ante,Ante_Rebić,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Ante_Rebic_playing_for_Be%C5%9Fikta%C5%9F_-_2_%28cropped%29.jpg/500px-Ante_Rebic_playing_for_Be%C5%9Fikta%C5%9F_-_2_%28cropped%29.jpg
P-56553,Rebrov,Serhii,Serhii_Rebrov,https://upload.wikimedia.org/wikipedia/commons/4/44/%D0%9C%D0%B0%D1%82%D1%87_%C2%AB%D0%94%D0%B8%D0%BD%D0%B0%D0%BC%D0%BE%C2%BB_-_%C2%AB%D0%A4%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D0%B2%D0%B0%D1%80%D0%BE%D1%88%C2%BB_1-0._8_%D0%B4%D0%B5%D0%BA%D0%B0%D0%B1%D1%80%D1%8F_2020_%D0%B3%D0%BE%D0%B4%D0%B0_%E2%80%94_1173732_%28%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D0%B9_%D0%A0%D0%B5%D0%B1%D1%80%D0%BE%D0%B2%29.jpg
P-61478,Reçber,Rüştü,Rüştü_Reçber,https://upload.wikimedia.org/wikipedia/commons/0/0f/Rustu_Recber_2010.jpg
P-66684,Recoba,Álvaro,Álvaro_Recoba,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/%C3%81lvaro_Chino_Recoba_120520-1175-jikatu_%28cropped%29.jpg/500px-%C3%81lvaro_Chino_Recoba_120520-1175-jikatu_%28cropped%29.jpg
P-02405,Redín,Bernardo,Bernardo_Redín,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Bernardo_Redin_DT_C%C3%BAcuta_Deportivo.jpg/500px-Bernardo_Redin_DT_C%C3%BAcuta_Deportivo.jpg
